0,1,Target_Malware
807,193,1
608,392,1
920,80,1
979,21,1
608,392,1
880,120,1
470,530,1
807,193,1
988,12,1
892,108,1
917,83,1
999,1,1
753,247,1
753,247,1
984,16,1
932,68,1
753,247,1
926,74,1
999,1,1
963,37,1
905,95,1
952,48,0
802,198,1
985,15,1
987,13,1
846,154,1
753,247,1
753,247,1
934,66,1
753,247,1
753,247,1
753,247,1
829,171,1
663,337,1
753,247,1
984,16,1
933,67,1
753,247,1
753,247,1
984,16,1
731,269,1
753,247,1
982,18,1
846,154,1
925,75,1
608,392,1
468,532,1
846,154,1
979,21,1
473,527,1
985,15,1
898,102,1
984,16,1
608,392,1
963,37,1
608,392,1
495,505,1
999,1,1
753,247,1
922,78,1
932,68,1
753,247,1
999,1,1
922,78,1
807,193,1
817,183,1
994,6,1
608,392,1
985,15,1
753,247,1
981,19,1
458,542,1
829,171,1
753,247,1
900,100,1
984,16,1
843,157,1
753,247,1
799,201,1
932,68,1
909,91,1
753,247,1
476,524,1
913,87,1
917,83,1
896,104,1
931,69,0
931,69,1
650,350,1
753,247,1
923,77,1
465,535,1
925,75,1
753,247,1
964,36,1
853,147,1
753,247,1
994,6,1
891,109,1
608,392,1
965,35,1
846,154,1
980,20,1
994,6,1
608,392,1
753,247,1
476,524,1
981,19,1
901,99,1
608,392,1
881,119,1
901,99,1
843,157,1
807,193,1
935,65,1
753,247,1
639,361,1
933,67,1
798,202,1
753,247,1
963,37,1
943,57,1
901,99,1
608,392,1
999,1,1
753,247,1
753,247,1
974,26,0
846,154,1
906,94,1
986,14,1
746,254,1
963,37,1
485,515,1
608,392,1
924,76,1
985,15,1
948,52,1
608,392,1
896,104,1
973,27,1
896,104,1
924,76,1
965,35,1
608,392,1
926,74,1
753,247,1
934,66,1
971,29,1
882,118,1
638,362,1
753,247,1
979,21,1
487,513,1
901,99,1
986,14,1
458,542,1
928,72,1
946,54,1
943,57,0
934,66,1
935,65,1
829,171,1
654,346,1
620,380,1
485,515,1
829,171,1
923,77,1
963,37,1
843,157,1
923,77,1
983,17,1
798,202,1
933,67,1
464,536,1
753,247,1
608,392,1
931,69,1
990,10,1
753,247,1
829,171,1
753,247,1
850,150,1
465,535,1
999,1,1
950,50,1
608,392,1
753,247,1
920,80,1
935,65,1
979,21,1
901,99,1
983,17,1
864,136,1
635,365,1
753,247,1
693,307,1
608,392,1
929,71,1
759,241,1
881,119,1
992,8,1
608,392,1
608,392,1
608,392,1
458,542,1
846,154,1
753,247,1
753,247,1
495,505,1
918,82,1
