FileName,IsDebuggerPresent,CheckRemoteDebuggerPresent,GetTickCount,OutputDebugStringA,FindWindowA,NtQueryInformationProcess,VirtualAlloc,WriteProcessMemory,ShellExecute,InternetOpen,Entropy_Max,Has_RWX,Imports_Count,Section_Count,Compile_Year,Label
e89f7cbe30c473af31238429762b1d46ed174fefa8bf559198766fb1658905fd.exe,0,0,0,0,0,0,0,0,0,0,6.210093930572644,0,65,3,2018,1
a0b4611fde48b7a3ae05cc87251f47f34f3b837bc0402f86ec05cfc1edadc13f.exe,0,0,0,0,0,0,0,0,0,0,6.683108145259173,0,1,3,0,1
verifier.exe,0,0,1,0,0,0,0,0,0,0,6.097483002843395,0,159,8,0,0
55504677f82981962d85495231695d3a92aa0b31ec35a957bd9cbbef618658e3.exe,0,0,0,0,0,0,0,0,0,0,4.742143629201318,0,13,5,2017,1
WSManHTTPConfig.exe,0,0,1,0,0,0,0,0,0,0,5.4089278286153695,0,84,7,0,0
a2322a27796d9f34f31d819e417d4eba3d1463ecb81b4b7aa1791812aed28a63.exe,1,0,1,0,0,0,1,0,0,0,6.7183356913770975,0,155,5,2014,1
b2e715176cc09f70496485fd9b50a9730654b59f99ad04f33bc92ed5d5d987bc.exe,0,0,1,0,0,0,1,0,0,0,7.353178479758557,0,255,4,2020,1
tttracer.exe,1,0,0,0,0,0,0,0,0,0,6.033547858851863,0,109,6,0,0
bb6cfee282efc5fa0e2dd8de410f4f7b9e684a3378244948589516d9ffaa81ad.exe,0,0,0,0,0,0,0,0,0,0,6.21344813484481,0,64,3,2018,1
951150abf88603c73afef53326bded068d0f87b45e01dee3d268eca4eedbe9dd.exe,0,0,0,0,0,0,0,0,0,0,7.680942072371126,1,7,3,2017,1
xcopy.exe,0,0,1,0,0,0,0,0,0,0,5.682163184117998,0,175,7,0,0
f77c8aa902bbbc1cf47e8cf48027632825df665fac31a0b88efd48de9eedfdc6.exe,0,0,0,0,0,0,0,0,0,0,4.111642671107191,0,1,3,2020,1
f1d81ae5a4ea7a71d5d7147565fecca141a8e03148ef3c9e7583b9159923d17a.exe,0,0,0,0,0,0,0,0,0,0,7.92908979180594,0,1,4,2018,1
wpnpinst.exe,1,0,0,0,0,0,0,0,0,0,5.367731860395452,0,84,7,1997,0
wbengine.exe,1,0,1,1,0,0,0,0,0,0,6.443075579338608,0,415,7,0,0
UCConfigTask.exe,1,0,0,0,0,0,0,0,0,0,5.523718115523951,0,80,6,0,0
UCPDMgr.exe,1,0,0,0,0,0,0,0,0,0,6.409459726502878,0,107,7,0,0
